RSS;BRA;BAG;BOS
0,721552483;0,817953198;1,783207909;0,977632299
0,804162158;0,724139512;1,695926923;0,912744423
0,83021317;0,834545245;1,559518255;0,972928626
0,81350915;0,726162014;1,789273367;0,918116556
0,891554426;0,765226332;1,594165632;0,929051911
0,830325092;0,732431094;1,483806635;0,990678248
0,921501231;0,729671883;1,46587815;1,042022466
0,789659866;0,904562857;1,623810443;0,957107629
0,745557618;0,840954267;1,635482485;0,978791735
0,824427145;0,78803562;1,67503815;0,856979109
0,862657892;0,765712467;1,680654445;0,984296757
0,771566693;0,715663754;1,594003565;0,856956134
0,777306029;0,737963856;1,620986752;0,910246386
0,819154804;0,696940286;1,462803019;1,037733841
0,883075525;0,794084056;1,583265633;0,991284719
0,760597778;0,75458797;1,753556742;0,924315761
0,911326084;0,851775464;1,54877956;1,09726876
0,824217863;0,713744537;1,683486437;0,90363653
0,847639004;0,718978818;1,578211214;1,000393724
0,857954512;0,75128503;1,643388667;0,889705271
0,757215202;0,878605783;1,503156005;1,024615606
0,866764039;0,664404876;1,646349119;0,887006179
0,717323227;0,792198086;1,624470827;0,958830848
0,654631137;0,73291241;1,552014941;1,477480848
0,801980909;0,853485376;1,392165806;1,564613994
0,756200093;0,836708618;1,533731798;1,036582693
1,171163689;0,945808544;1,458913482;1,592501683
0,768083864;0,824889151;1,735833063;1,061517871
0,773173008;0,991167809;1,585516105;1,506511982
0,78338267;0,823242271;1,652137562;1,023026503
0,749054248;0,867548909;1,584242054;1,646400407
0,767139422;0,852683149;1,617184467;0,914859789
0,681373087;0,719304994;1,555650425;0,797271048
0,718686831;0,720921609;1,481278401;1,462308217
0,863863313;0,791834285;1,45831955;0,981827971
0,800694677;0,81426187;1,613499353;1,486979393
0,799210411;0,755259448;1,536141448;1,020603633
0,939159461;0,97097837;1,413075512;1,430584932
0,758530329;0,813097885;1,471603259;1,038463636
0,800115238;0,801196786;1,532846048;1,449196176
0,8719836;0,844011169;1,499088117;1,03138278
0,778077786;0,79362462;1,469845801;1,452567275
0,834863734;0,890010703;1,472227176;0,992173931
0,794405068;0,934695774;1,610289476;1,525340232
0,774930954;0,71735799;1,488373663;0,993016045
0,740322898;0,73405459;1,564368777;1,49890893
0,70115144;0,77099342;1,518121156;1,082267113
0,959942064;0,815279951;1,407904703;1,560313651
0,772162535;0,850279997;1,506609626;1,005213545
0,965262442;0,866518642;1,501765101;1,540633809
0,798565561;0,81607992;1,574020599;1,164543172
0,869678049;1,05749897;1,451310428;1,600568267
0,838346793;0,69798094;1,478855311;1,078263649
0,825730852;0,807385833;1,43199195;1,620733656
0,712862751;0,813791418;1,62427845;0,989562162
0,7401747;0,954966063;1,514454388;1,527902503
0,776553796;0,717625934;1,511318263;0,982654815
0,831685414;0,893455341;1,488377723;1,392318118
0,696452744;0,731835217;1,600864224;1,090053681
0,742592434;0,774620187;1,471830637;1,165324031
0,820865366;0,761235458;1,546990329;0,875774894
0,808531255;0,731884782;1,508183142;1,068318798
0,752668592;0,726012044;1,690573144;0,923578787
0,773660758;0,657487728;1,506107756;1,16741585
0,831274102;0,771675585;1,708216487;0,901189683
0,797569012;0,742901239;1,506082803;1,084036008
0,795942792;0,75346806;1,704567691;0,867487043
0,681373087;0,719304994;1,555650425;0,797271048
0,951574615;0,909743605;1,547063305;1,129872585
0,786023293;0,65431882;1,477254361;0,919075631
0,848489234;0,776808866;1,501200295;0,984239459
0,765951665;0,891168389;1,606966307;1,06210207
0,844122603;0,677074391;1,520448796;1,227436985
0,740047863;0,631440128;1,585648906;1,012203213
0,72913263;0,748818049;1,534199474;0,983440211
0,701802804;0,682056876;1,551290132;0,935860222
0,789301644;0,707989526;1,582043731;1,06179145
0,743444999;0,799695973;1,566632154;0,890952628
0,771371072;0,76631042;1,470725743;1,110293629
0,789326257;0,823230271;1,540159885;1,001063134
0,63795654;0,690663229;1,714914071;1,060349476
0,832900138;0,72783562;1,522327741;0,94696299
