BOS;BAG;BRA;RSS
7,642701576;7,631452734;4,774664041;4,926372799
8,005166821;7,187557924;4,393188137;5,810953429
8,317817424;8,014017609;6,944613068;7,763044486
7,121570899;8,561468953;6,4317076;5,984482159
8,309244671;8,279604958;4,701525056;7,53040431
9,072984245;7,273870482;5,851714551;6,66055665
7,232924004;7,448777804;5,708063021;6,633173077
8,417261353;8,634354727;6,041021779;5,455103105
7,886306766;7,832848703;4,947995829;6,480775023
7,535287303;7,719138091;5,68663114;6,293576228
7,422428174;7,429483318;6,397265987;6,065859592
8,459754402;7,636706441;5,277031009;5,949409175
7,843141798;8,273273865;4,750695088;6,149180375
8,574745134;8,201546571;5,926552363;6,282501158
7,197150139;7,743721038;5,200857275;6,108595922
8,896316033;7,7567076;5,880954588;6,99488531
8,010403151;8,440529425;5,638838044;6,08607507
8,380699722;8,719114921;5,90349861;6,882031974
7,617029657;8,341763207;4,5456557;4,7030377
8,288878591;7,615083411;6,260414736;7,340355653
8,125996293;8,238206673;5,643072289;6,03692076
9,279147359;8,866543095;4,680375348;6,627467563
6,626065802;9,081458526;5,616276645;6,073661956
8,28723355;8,851146895;5,569311863;6,144647822
7,565546803;8,461706441;4,009615385;6,750069509
8,059974513;8,494560936;5,897984245;5,299050046
6,838003939;8,421316033;5,5057924;4,625330167
4,975880445;7,871883689;4,713531047;5,854998842
6,134794949;7,305966172;5,535727525;5,50310714
6,241485171;8,145238647;5,575625579;5,957889249
7,069068582;8,25666126;5,308433735;5,507895042
5,155166821;8,373737257;5,656626506;6,750341752
6,804836654;7,767006487;4,652455978;6,057460612
5,928701344;7,520806302;5,537025023;5,436422614
6,353017841;6,922984245;5,741427247;4,977519694
5,662853336;7,642284523;5,183549583;5,573916821
6,889197173;7,18781279;5,016682113;6,656643883
6,093263438;8,492261353;5,951390176;6,028660797
6,037436284;8,830908248;6,361677479;6,069838971
6,541259268;8,621930028;5,562250099;6,119004866
5,733213624;7,172138554;5,292678406;5,835116427
6,872596154;7,973204356;5,096014829;5,679048888
6,27109013;7,956916126;5,546292864;5,882257878
6,964486793;7,478000463;5,472242817;5,813768536
6,342811631;7,021779425;5,124281742;5,636208295
5,986793327;7,651227989;5,724374421;5,419149676
6,578979379;7,763982854;4,590607816;5,142550973
6,943547266;7,993118628;5,273586654;5,881386121
6,533398981;8,417342447;5,336793327;5,574345459
6,27051089;8,535912882;4,623447637;6,265593142
6,329268999;7,982877665;4,890713624;5,468564643
6,516595227;8,181916126;5,697798888;5,739272475
6,465378823;8,277618165;6,613438369;5,750428638
6,471866311;8,622961075;5,476227989;4,827266484
6,478521779;7,651390176;6,195505097;6,124507646
6,053093142;8,3942076;5,11686747;5,895493513
6,486422614;8,084151993;5,519833179;5,971489805
6,018101251;8,733144115;4,978174235;4,839278267
6,621623031;8,834777572;5,469462465;5,828799815
5,802044717;8,685067192;3,773772011;5,494462465
6,102760079;8,59971038;4,975996293;6,668651529
8,537216172;7,820389249;6,316085496;4,400347061
9,178104727;7,946623031;6,390697405;5,981057403
6,134794949;7,305966172;5,535727525;5,50310714
5,387824374;7,722040083;6,256892956;4,629509384
8,614388323;7,803284291;6,165963855;5,328464338
6,153127896;8,0019057;6,407680723;6,144266006
8,626662419;7,333920297;6,079448563;4,840176089
