BOS;BAG;BRA;RSS
0,146634615;0,115384615;0,276442308;0,216346154
0,084134615;0,088942308;0,170673077;0,175480769
0,158653846;0,105769231;0,197115385;0,194711538
0,110576923;0,112980769;0,165865385;0,211538462
0,180288462;0,112980769;0,199519231;0,180288462
0,110576923;0,125;0,177884615;0,199519231
0,139423077;0,108173077;0,209134615;0,1875
0,120192308;0,117788462;0,204326923;0,185096154
0,141826923;0,108173077;0,242788462;0,216346154
0,117788462;0,112980769;0,175480769;0,165865385
0,180288462;0,117788462;0,235576923;0,211538462
0,110576923;0,088942308;0,257211538;0,185096154
0,151442308;0,117788462;0,209134615;0,185096154
0,086538462;0,112980769;0,177884615;0,165865385
0,173076923;0,091346154;0,25;0,204326923
0,108173077;0,117788462;0,177884615;0,197115385
0,153846154;0,103365385;0,206730769;0,175480769
0,098557692;0,103365385;0,228365385;0,189903846
0,158653846;0,091346154;0,199519231;0,235576923
0,091346154;0,100961538;0,1875;0,182692308
0,149038462;0,125;0,302884615;0,209134615
0,100961538;0,091346154;0,199519231;0,173076923
