BAG;RSS;BOS;BRA
0,769791368;0,534414677;0,769791368;0,466265615
0,775170462;0,538185041;0,775170462;0,502939006
0,738901981;0,543532514;0,738901981;0,515075516
0,736875244;0,449380279;0,736875244;0,47965862
0,785258435;0,552020372;0,785258435;0,423306048
0,78359756;0,602011035;0,78359756;0,354874015
0,813490175;0,563185077;0,813490175;0,583988336
0,770102925;0,55686677;0,770102925;0,475237638
0,792582283;0,533802956;0,792582283;0,462697405
0,787422805;0,614169276;0,787422805;0,580398673
0,78666678;0,588430556;0,78666678;0,550039194
0,77401047;0,461562497;0,77401047;0,361929402
0,760240473;0,599291442;0,760240473;0,49760483
0,785769508;0,509478775;0,785769508;0,559789189
0,769950896;0,555098001;0,769950896;0,420940489
0,763630472;0,423249438;0,763630472;0,496157744
0,80187371;0,676191428;0,80187371;0,567781692
0,727187334;0,49330334;0,727187334;0,323929789
0,787505068;0,580657107;0,787505068;0,52228812
0,699416036;0,401943935;0,699416036;0,615978228
0,738962882;0,565849284;0,738962882;0,620631076
0,72678457;0,546524781;0,72678457;0,450957695
0,71448261;0,470360036;0,71448261;0,593977703
0,703074826;0,475583379;0,703074826;0,594252025
0,684403106;0,606948505;0,684403106;0,563474432
0,733757718;0,563656921;0,733757718;0,529866656
0,699762746;0,495067177;0,699762746;0,535269687
0,6624661;0,468285736;0,6624661;0,548982515
0,695597935;0,480015324;0,695597935;0,503274601
0,695621898;0,536033276;0,695621898;0,536479899
0,722446086;0,553914086;0,722446086;0,511678026
0,748248659;0,550710959;0,748248659;0,604157905
0,748356479;0,489170257;0,748356479;0,441744018
0,685405222;0,526652878;0,685405222;0,526967498
0,710360728;0,564666865;0,710360728;0,528899885
0,744084202;0,468204838;0,744084202;0,505978891
0,689476696;0,473384058;0,689476696;0,495955685
0,719144681;0,476629705;0,719144681;0,542084726
0,701280613;0,510958366;0,701280613;0,59871631
0,710973494;0,638017001;0,710973494;0,55008585
0,693430088;0,534388342;0,693430088;0,463067393
0,722886768;0,523013703;0,722886768;0,55422843
0,706519817;0,505234281;0,706519817;0,43868057
0,747633581;0,461178696;0,747633581;0,485571428
0,785245477;0,505599053;0,785245477;0,553351496
0,743108186;0,507394553;0,743108186;0,60355547
0,735269423;0,389519739;0,735269423;0,47930087
0,765603948;0,539617439;0,765603948;0,567185717
0,725455922;0,474492957;0,725455922;0,546434242
0,736575042;0,500602529;0,736575042;0,510410021
0,78176682;0,41329554;0,78176682;0,563003578
0,770413141;0,591843496;0,770413141;0,732574247
0,712354773;0,466508737;0,712354773;0,393818225
0,744218641;0,640421439;0,744218641;0,65404615
0,77276446;0,480943992;0,77276446;0,548224113
0,655280853;0,626608617;0,655280853;0,555691534
0,734021714;0,476501674;0,734021714;0,497327612
0,775616069;0,494253123;0,775616069;0,652710335
0,757790756;0,44834086;0,757790756;0,576655029
0,741836487;0,595020427;0,741836487;0,567839514
0,746616667;0,547711544;0,746616667;0,496412227
0,699762746;0,495067177;0,699762746;0,535269687
0,741731007;0,503466454;0,741731007;0,603689621
0,747742631;0,438970023;0,747742631;0,374331956
0,7156379;0,486615799;0,7156379;0,438823035
0,789153301;0,575431418;0,789153301;0,557215034
0,780217968;0,479562174;0,780217968;0,552559895
0,756654571;0,53968966;0,756654571;0,422825946
0,772075973;0,52081907;0,772075973;0,527171764
0,797535108;0,535944345;0,797535108;0,518394836
0,725065836;0,516291778;0,725065836;0,517227526
0,717635466;0,579634499;0,717635466;0,528592332
0,740883906;0,557714716;0,740883906;0,466332841
0,736615819;0,529384014;0,736615819;0,566719675
0,813206022;0,511350316;0,813206022;0,493495013
0,805751225;0,554873861;0,805751225;0,425336078
0,770789746;0,57762499;0,770789746;0,542675581
0,742496428;0,511581578;0,742496428;0,430744335
0,779222858;0,584300358;0,779222858;0,454237647
0,656623272;0,489672508;0,656623272;0,495943451
0,753567429;0,535486973;0,753567429;0,556956876
0,774003489;0,470580295;0,774003489;0,388606274
0,760863362;0,579835645;0,760863362;0,564148884
0,781447596;0,545061918;0,781447596;0,474758023
0,730560309;0,534604494;0,730560309;0,398936532
0,753692994;0,532229865;0,753692994;0,474316227
0,740118528;0,489813454;0,740118528;0,533435537
0,729243235;0,504707067;0,729243235;0,341381608
0,755583945;0,508441763;0,755583945;0,52482244
0,713632482;0,449463045;0,713632482;0,475752154
0,689985781;0,622695991;0,689985781;0,544187002
0,679755844;0,462984411;0,679755844;0,535314137
0,680516102;0,66990761;0,680516102;0,633458963
0,747837438;0,441024577;0,747837438;0,525146956
0,735057156;0,527742373;0,735057156;0,596179416
0,71726239;0,484271481;0,71726239;0,427244147
0,6624661;0,468285736;0,6624661;0,548982515
0,741731007;0,503466454;0,741731007;0,603689621
0,707696562;0,347971383;0,707696562;0,387557997
0,727047838;0,450529945;0,727047838;0,470293457
0,68658446;0,590838577;0,68658446;0,49699594
0,733489438;0,515885477;0,733489438;0,520661292
0,720729411;0,586126759;0,720729411;0,431759693
0,7175991;0,512162781;0,7175991;0,593405853
