"Regressor_A","Regressor_B","Dataset","BAGG","BOOS","CBAS","RASS"
"Regressor_13","Regressor_3","concrete",0.07,0.17,0.37,0.15
"Regressor_13","Regressor_30","concrete",0.09,0.22,0.28,0.1
"Regressor_13","Regressor_31","concrete",0.07,0.19,0.31,0.11
"Regressor_13","Regressor_32","concrete",0.07,0.2,0.35,0.12
"Regressor_13","Regressor_33","concrete",0.08,0.24,0.35,0.12
"Regressor_13","Regressor_34","concrete",0.09,0.13,0.36,0.14
"Regressor_13","Regressor_35","concrete",0.07,0.17,0.25,0.32
"Regressor_13","Regressor_36","concrete",0.09,0.15,0.2,0.2
"Regressor_13","Regressor_4","concrete",0.03,0.17,0.32,0.17
"Regressor_13","Regressor_5","concrete",0.06,0.12,0.37,0.14
"Regressor_13","Regressor_6","concrete",0.09,0.13,0.32,0.2
"Regressor_13","Regressor_7","concrete",0.09,0.17,0.38,0.11
"Regressor_13","Regressor_8","concrete",0.12,0.15,0.33,0.11
"Regressor_13","Regressor_9","concrete",0.09,0.18,0.36,0.13
"Regressor_14","Regressor_1","concrete",0.11,0.09,0.23,0.15
"Regressor_14","Regressor_10","concrete",0.11,0.17,0.32,0.26
"Regressor_14","Regressor_11","concrete",0.09,0.14,0.11,0.24
"Regressor_14","Regressor_12","concrete",0.1,0.09,0.23,0.23
"Regressor_14","Regressor_13","concrete",0.13,0.13,0.37,0.17
"Regressor_14","Regressor_15","concrete",0.14,0.21,0.16,0.16
"Regressor_14","Regressor_16","concrete",0.09,0.12,0.12,0.1
"Regressor_14","Regressor_17","concrete",0.11,0.14,0.15,0.22
"Regressor_14","Regressor_18","concrete",0.07,0.12,0.29,0.14
"Regressor_14","Regressor_19","concrete",0.13,0.15,0.16,0.13
"Regressor_14","Regressor_2","concrete",0.11,0.15,0.21,0.26
"Regressor_14","Regressor_20","concrete",0.1,0.07,0.13,0.23
"Regressor_14","Regressor_21","concrete",0.09,0.18,0.38,0.07
"Regressor_14","Regressor_22","concrete",0.15,0.11,0.11,0.15
"Regressor_14","Regressor_23","concrete",0.12,0.19,0.3,0.2
"Regressor_14","Regressor_24","concrete",0.08,0.11,0.15,0.16
"Regressor_14","Regressor_25","concrete",0.1,0.15,0.13,0.17
"Regressor_14","Regressor_26","concrete",0.1,0.08,0.13,0.3
"Regressor_14","Regressor_27","concrete",0.09,0.19,0.18,0.1
"Regressor_14","Regressor_28","concrete",0.08,0.1,0.11,0.14
"Regressor_14","Regressor_29","concrete",0.11,0.1,0.16,0.22
"Regressor_14","Regressor_3","concrete",0.05,0.15,0.19,0.13
"Regressor_14","Regressor_30","concrete",0.12,0.16,0.27,0.08
"Regressor_14","Regressor_31","concrete",0.09,0.17,0.34,0.15
"Regressor_14","Regressor_32","concrete",0.08,0.13,0.12,0.1
"Regressor_14","Regressor_33","concrete",0.12,0.16,0.31,0.17
"Regressor_14","Regressor_34","concrete",0.06,0.12,0.1,0.14
"Regressor_14","Regressor_35","concrete",0.13,0.15,0.29,0.28
"Regressor_14","Regressor_36","concrete",0.1,0.12,0.22,0.13
"Regressor_14","Regressor_4","concrete",0.1,0.13,0.09,0.15
"Regressor_14","Regressor_5","concrete",0.13,0.13,0.21,0.12
"Regressor_14","Regressor_6","concrete",0.1,0.15,0.09,0.2
"Regressor_14","Regressor_7","concrete",0.13,0.16,0.19,0.12
"Regressor_14","Regressor_8","concrete",0.09,0.11,0.08,0.12
"Regressor_14","Regressor_9","concrete",0.13,0.14,0.39,0.06
"Regressor_15","Regressor_1","concrete",0.06,0.16,0.26,0.35
"Regressor_15","Regressor_10","concrete",0.08,0.11,0.33,0.17
"Regressor_15","Regressor_11","concrete",0.09,0.15,0.2,0.09
"Regressor_15","Regressor_12","concrete",0.12,0.17,0.25,0.48
"Regressor_15","Regressor_13","concrete",0.07,0.16,0.4,0.39
"Regressor_15","Regressor_14","concrete",0.13,0.21,0.15,0.33
"Regressor_15","Regressor_16","concrete",0.08,0.13,0.13,0.3
